101,Zishan,88,92,85,90,355,88.75,B
102,md zishan,99,99,99,99,396,99,A
103,Priya Sharma,95,96,92,94,377,94.25,A
104,Amit Singh,60,65,70,68,263,65.75,D
105,Sneha Gupta,89,85,90,82,346,86.5,B
106,Vikram Reddy,45,55,50,60,210,52.5,F
107,Neha Desai,78,82,75,88,323,80.75,B
108,Rohan Patel,92,88,94,90,364,91,A
109,Anjali Verma,85,82,88,84,339,84.75,B
110,Karan Malhotra,65,70,68,72,275,68.75,D
1,Zissu Sayyed,91,89,94,90,364,91,A
2,Aliya Noor,85,88,82,90,345,86.25,B
3,Kamran Ali,72,75,70,78,295,73.75,C
4,Inam Sheikh,66,64,68,70,268,67,D
5,Aryan Raj,95,92,96,94,377,94.25,A
6,Neha Sharma,81,84,79,85,329,82.25,B
7,Zeba Fatima,58,62,60,55,235,58.75,F
8,Mubassirah Parween,89,91,87,90,357,89.25,B
9,Pragati Singh,76,80,74,78,308,77,C
10,Ram Verma,68,72,65,70,275,68.75,D
11,Vishesh Gupta,93,95,91,96,375,93.75,A    
